state,visited
Alabama,1
Alaska,0
Arkansas,1
Arizona,0
California,1
Colorado,0
Connecticut,1
Delaware,1
Florida,1
Georgia,1
Hawaii,0
Iowa,1
Idaho,0
Illinois,1
Indiana,1
Kansas,1
Kentucky,1
Louisiana,1
Maine,1
Maryland,1
Massachusetts,1
Michigan,1
Minnesota,1
Missouri,1
Mississippi,1
Montana,0
North Carolina,1
North Dakota,0
Nebraska,1
New Hampshire,1
New Jersey,1
New Mexico,0
Nevada,1
New York,1
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,1
South Dakota,0
Tennessee,1
Texas,1
Utah,0
Virginia,1
Vermont,1
Washington,0
Wisconsin,1
West Virginia,1
Wyoming,0
